Keyboard Config|键盘设置
This is only available \nfor female users.\nIt's a very popular \naccessory, though it's \nnot useful as a weapon.|只有女性才能使用的特殊爪\n它的外观和实用度\n高命中率都值得夸耀
Sinow Red's hands were \nremodeled into a weapon.\nAttack and defense are \nincreased with its \nspecial attack.|红机忍双手改造而成的武器\n\n特殊攻击：提升攻防
When you wave this magic \nfan once, it produces a \nvery strong wind, which \nblows enemies away.|能把敌人吹飞的魔法扇\n便于操作的特殊武器
This scythe is considered \na work of art because of \nits intricate design.\nIts special attack \nconfuses enemies.|在先驱者２号的游乐设施上\n使用的时髦模型\n威力估计不会太大
An antique model that's \npopular among certain \nhardcore fans.\nThe power is as strong as \nthe new model.|狂热分子特别喜欢的古代模型\n但是威力与现代的相比也不逊色
This rifle was used as \nthe military Android's \nprimary weapon in a \ncertain country.|某国军用机器人\n初期装备的机枪
Baranz's parts were used \nto create this enemy \nweapon.|用机甲堡垒的零件改造\n而成的武器\n威力巨大
A branch that gives off a \nfragrance that puts Chao \ninto a trance.|可以装配查欧的杖\n如果装备查欧的话……
A Laconiatask tempered \nwith the Eclipse Torch's \nflame.\nAlso known as "Alis'\nClaw."|用日蚀之炎锻炼而成的\n别名爱丽丝之爪
A special gun that shoots \nlighting.\nIts accuracy is top class.|从枪口发射雷光的特殊枪\n没有特殊能力\n但是命中率是枪中最高的
A mysterious weapon.\nIts abilities are unknown.|一把神秘的武器。\n它的能力目前尚不明确。
A pair of swords bearing \nthe name of a double \nsword wielding master.|刻着古代二刀流高手名字的双刀\n特殊攻击：消耗ＨＰ发出强劲攻击
A pair of swords bonded \nwith ultra low \ntemperature Photons.\nIts special attack \nfreezes enemies.|含有超低温光子的双刀\n特殊攻击：冰冻
A pair of swords bonded \nwith ultra high \ntemperature Photons.|含有超高温光子的双刀\n特殊攻击：火焰
A launcher that fires \nPhotons that can pierce \nthrough enemies.\nIts special attack \nparalyzes enemies.|发射贯穿敌人的高压缩光子弹\n\n特殊攻击：麻痹
A legendary Photon \nlauncher said to have \nbeen created by an outlaw.|某罪犯制作的发射器\n\n特殊攻击：冰冻
This was a highly \nregarded Photon launcher \nof a certain secret \nsociety.|某集团喜欢使用的发射器\n\n特殊攻击：火焰
A card charged with a \nmysterious energy.\nIt does not appear to use \ntraditional Photon based \ntechnology.|需要神秘的精神力来操纵的卡片\n包含神秘光子能量的谜之武器
A card bearing an ancient \nmagical incantation.\nIts special attack steals \nenemy TP.|包含古代魔咒力量的卡片\n\n特殊攻击：吸收ＴＰ\n
A unique card resembling \na human figure.\nCharged with powerful \npsychic energy, only \nForces can use it.|特殊的人型卡片\n包含极强的意念\n魔法师专用武器\n如果对它使用某种经文的话……
A bazooka said to have \nbeen favored on the \nbattlefield by a brave \nwarrior of ancient times.|据说是古代战场上勇士\n擅长使用的发射器
Sinow Berill's hand, now \na weapon.\nSome say there is room \nfor further refinement, \nbut...|森隐雷藏的拳头改造而成的武器\n可以连接某种扩展端口
AUW 3060 model.\nReplica by Mick Co.\nFirst model.\nPopular for its simple, \nyet distinctive design.|ＡＵＷ３０６０年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n虽然朴素但却很受欢迎
AUW 3064 model.\nReplica by Mick Co.\nModel that became the \nstandard and made Mick \nfamous.|ＡＵＷ３０６４年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n依靠这个ＭＩＣＫ\n公司成为业界标准
AUW 3067 model.\nReplica by Mick Co.\nDue to excessive details, \nthis model's performance \nsuffered.|ＡＵＷ３０６７年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n过于注重细节而降低了性能
AUW 3073 model.\nReplica by Mick Co.\nRelatively few were made, \nso this model is highly \nvalued among collectors.|ＡＵＷ３０７３年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n发行的数量稀少而\n成为收藏者的目标
AUW 3077 model.\nReplica by Mick Co.\nLimited edition model \ncommemorating the arrival \non Ragol.|ＡＵＷ３０７７年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n拉古奥尔的纪念限定版
AUW 3082 model.\nReplica by Mick Co.\nThe weight has been \nreduced by the \nincorporation of new \nmaterials.|ＡＵＷ３０８２年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n使用新材料减轻了重量
AUW 3083 model.\nReplica by Mick Co.\nEven experts have \ndifficulty determining \nits authenticity.|ＡＵＷ３０８３年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n专家也很难分辨其真伪
AUW 3084 model.\nThinking of his beloved \nFurou-uen, Horusu, Mick \npoured his body and soul \ninto its creation.|ＡＵＷ３０８４年制造\n为了表达对弗罗文的尊敬\nＭＩＣＫ公司全力制作的极品
AUW 3079 model.\nReplica by Mick Co.\nNo compromises were made \nto allow it to reach its \napex of refinement.|ＡＵＷ３０７９年制造\nＭＩＣＫ公司根据\n正品制作的仿制品\n在制作中没有任何问题\n因此发挥了最佳性能
AUW 3062 model.\nReplica by Mick Co.\nFirst model.\nPopular replica due to \nits simple, yet \ndistinctive design.|ＡＵＷ３０６２年制造\nＭＩＣＫ公司根据正品\n制作的第一版仿制品\n虽然朴素但却很受欢迎
AUW 3067 model.\nReplica by Torato Co.\nA perfect replica, down \nto the identical \nmaterials and process.|0ＡＵＷ３０６７年制造\nＴＯＲＡＴＯ公司根据\n正品制作的仿制品\n选用了同正品相同材料\n将其性能完全再现
AUW 3069 model.\nReplica by Chris Co.\nEffort was put into \nreplicating its function \nmore so than its look.|ＡＵＷ３０６９年制造\nＫＵＲＩＳＵ公司根据\n正品制作的仿制品\n重视实用性的产品
AUW 3064 model.\nReplica by Mick Co.\nSecond model.\nExtremely few were made, \nmaking it rare and \nprecious.|ＡＵＷ３０６４年制造\nＭＩＣＫ公司第二版仿制品\n数量非常少而显得珍贵
AUW 3069 model.\nReplica by Torato Co.\nExperts have a difficult \ntime telling this replica \napart from the real model.|ＡＵＷ３０６９年制造\nＴＯＲＡＴＯ公司根据\n正品制作的仿制品\n专家也难辨真伪
AUW 3073 model.\nReplica by Chris Co.\nThe replica's blade is \nsuperior because of its \nuse of higher grade \nmaterial.|ＡＵＷ３０７３年制造\nＫＵＲＩＳＵ公司根据\n正品制作的仿制品\n剑刃使用了特殊材料
AUW 3070 model.\nReplica by Mick Co.\nDue to excessive details, \nthis model's performance \nsuffered.|ＡＵＷ３０７０年制造\nＭＩＣＫ公司根据正品\n制作的仿制品\n过于注重细节而降低了性能
AUW 3075 model.\nReplica by Torato Co.\nNo compromises were made \nto allow it to reach its \napex of refinement.|2ＡＵＷ３０７５年制造\nＴＯＲＡＴＯ公司根据\n正品制作的仿制品\n在制作中没有任何问题\n因此发挥了最佳性能
Gi Gue's body, now an \nenemy weapon.|姬蜂后的躯干改造而成的武器
A sacred weapon with an \narcing fan shaped attack.\nIts special attack uses \nTP to launch a powerful \nstrike.|包含精神力量的神圣武器\n\n特殊攻击：消耗ＴＰ发出强劲攻击
Magic cane whose power \nhas been enhanced by a \nblue-black stone.|使用了苍黑石而获得更高威力
A pair of Katanas that \nwork perfectly in concert \nwith one another.|两把刀同时使用可以引发出\n不可思议的力量
A humanoid doll that has \ngained new powers through \nancient sorcery.|利用古代咒语而重生的式神
Sinow Berill's knuckle \nwith Photon camouflage.|具用光子迷彩的拳套
Claw forged from \nMorningium, which is said \nto show its true strength \nunder the light of the \nmorning sun.|据说可以在朝阳中发挥\n最高威力的爪子\n攻击力会随时间的变化而变化
A double-edged halberd \nthat can rip the enemy \napart with a lightning \nfast attack.|刀如其名\n以雷电般速度撕裂敌人的双头剑
Gal Gryphon's wings, now \nan enemy weapon.|加尔狮鹫的羽毛改造而成的武器
A legendary long sword \nsaid to be able to slice \nthrough anything in a \nsingle stroke.|一刀就可以杀死\n大型生物的传说武器
A mysterious mechanical \nclaw created by a \nlegendary Newman.\nIt boosts mid level \nattack techniques.|传说中新人类装备的机械爪\n增加中级攻击魔法的威力
A wondrous gun whose \neffects are said to be \nenhanced by the power of \nlove.|依靠爱的力量增加威力的神秘枪械
A double-hit weapon that \nshred enemies with \ncountless Photon blades.|拥有无数光子利刃能把\n敌人切断的双头武器
Claw used by a legendary \nNewman.\nIts aura boosts the power \nof low level attack \ntechniques.|传说中新人类喜欢使用的爪\n增加初级攻击魔法的威力
Wand with the magic stone \nIritista embedded in it.|嵌入魔石伊利提斯塔的神秘投刃
\tCGSword eroded by Olga Flow \nDNA.\nIts power is awakened \nwhen its owner is in \ndanger.|\tCG被侵蚀遗传因子侵蚀的剑\n当装备者陷入危机便可以\n唤醒武器的真正力量
\tCGLong range weapon eroded \nby Olga Flow DNA.\nIts power is awakened \nwhen its owner is in \ndanger.|\tCG被侵蚀遗传因子侵蚀的\n远距离攻击武器\n有两种攻击方式
\tCGA claw imprinted with \nOlga Flow DNA.\nThe dark malignant \nPhotons still retain the \npower of ancient \ntechniques.|\tCG被侵蚀遗传因子侵蚀的杖\n暗光子将唤醒远古魔法的力量
Enemy weapon made from \nthe two arms of a Grass \nAssassin.|巨螳螂双手改造而成的武器
Enemy weapon made from \nthe wings of a Rappy.|拉比鸟羽毛改造而成的武器
Enemy weapon made from \nthe right arm of a Booma.|棕狂熊右手改造而成的武器
Enemy weapon made from \nthe right arm of a \nGobooma.|黄狂熊右手改造而成的武器
Enemy weapon made from \nthe right arm of a \nGigobooma.|红狂熊右手改造而成的武器
An ancient gun said to \nhave been given to the \nhuman race by a divine \nbeing around AUW 1980.|神在ＡＵＷ１９８０年赐予人类的古代枪
A precious rose grown \nusing Photon nutrients.|用光子培养液制成的\n贵重玫瑰型武器
A bizarre slicer that \ntakes away HP when used.|拥有绮丽颜色和很长刀身的投刃\n\n特殊攻击：敌人ＨＰ剩余１/４
A dazzling silver sword \nthat shines brightly.|散发光辉的银制剑\n在合适的使用者手中\n会散发更加谣言的光芒
A golden sword that gets \neven more powerful as HP \ndrops.|释放了潜在的能力\n散发着绚丽金色光芒的剑\n拥有极高的攻击力\n\n特殊攻击：消费ＨＰ攻击力倍增
A machine gun with an icy \nblue barrel.|枪身带有晶莹的浅蓝色光辉的机枪\n\n特殊攻击：雷霆
A popular, easy-to-use \nblade.\nCan confuse enemies.|有着颜色鲜明的刀身和易用的柄部\n所以有很多支持者\n\n特殊攻击：混乱
A red and silver compact \nhandgun designed for \nwomen.|女性也很容易使用的精密手枪\n精巧的银质零件和前端的红色\n线纹使人印象深刻
Powerful machine gun \nthat's fit only for \nveteran Rangers.|拥有高攻击力的魅力机枪\n若不是熟练的枪手使用它\n会为其所累
A simple, easy-to-use \nrifle.|性能专一故而使用方便的步枪
The design of this blade \nis indicative of high \nstatus.|充满威严的会长专用指挥\n刀，会员团结的象征
A lovely double saber for \na lovely woman.\nAbsorbs TP from targets.|专为美丽女性打造\n的绮丽双刃剑\n\n特殊攻击：ＴＰ吸收
A saber with a charming, \nsymbolic design.|因为象征性的设计\n而格外引人注目的光剑
A swift and deadly blue \nphoton claw.|用翻出的蓝色光子爪发出\n高速攻击，被袭击者即使\n被切到都不能马上察觉
A red blade with an \nembossed seal.\nDeals fire damage.|红色的刀身刻有浮雕文字\n使看到的人心生畏惧\n\n特殊攻击：火属性攻击
A blue blade that is fit \nfor massacre.\nDeals ice damage.|青色的刀身冷酷得\n让人产生杀戮的联想\n\n特殊攻击：冰属性攻击
One of two unparalleled \nblades from a homeworld.\nCan cause instant death.|献给本星球第一剑豪的双刀\n其破坏力无与伦比\n\n特殊攻击：即死
A saber with a wavy blade \nthat maximizes damage \npotential.|刀身带异样装饰用于扩\n大伤口的残酷之剑
A legendary blade of the \nBlue Dragon.\nDamage increases as HP \ngets lower.|古代某个英雄擅使的刀柄\n刻有青龙饰纹的大刀\n别名“青龙刀”\n\n特殊攻击：消费ＨＰ攻击力倍增
